year,district,county,candidate,ocr_value,corrected_value,how_verified
1990,1,Ness,Pat Roberts,808,1066,page image read; district column sum and overview total then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1990,1,Ness,Duane West,,808,page image read; district column sum and overview total then tie exactly (OCR text had no value)
1990,2,Leavenworth,Scott Morgan,7914,6060,page image read; district column sum and overview total then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1990,2,Leavenworth,Jim Slattery,,7914,page image read; district column sum and overview total then tie exactly (OCR text had no value)
1990,2,Nemaha,Jim Slattery,3167,3307,page image read; district column sum and overview total then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1990,2,Riley,Jim Slattery,2894,7894,page image read; district column sum and overview total then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1990,4,Sumner,Dan Glickman,,6163,page image read; district column sum and overview total then tie exactly (OCR text had no value)
1992,1,Gray,Pat Roberts,1308,1508,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Haskell,Pat Roberts,1343,1243,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Kiowa,Pat Roberts,1306,1506,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Lincoln,Pat Roberts,1384,1584,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Lyon,Pat Roberts,7387,7887,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Lyon,Duane West,5337,5837,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Mcpherson,Pat Roberts,9345,9545,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Mcpherson,Duane West,2317,2817,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,1,Meade,Pat Roberts,1338,1538,"page image read (1st page of district 1); the book's printed D1 total row is only the 2nd-page subtotal, so this row is verified by the image alone; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)"
1992,2,Allen,Jim Van Slyke,3057,2979,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Allen,Jim Slattery,241,3057,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Allen,Arthur L. Clack,,241,page image read; district total row / overview then tie exactly (OCR text had no value)
1992,2,Atchison,Jim Van Slyke,4837,2406,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Atchison,Jim Slattery,206,4837,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Atchison,Arthur L. Clack,,206,page image read; district total row / overview then tie exactly (OCR text had no value)
1992,2,Bourbon,Jim Van Slyke,3413,3372,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Bourbon,Jim Slattery,181,3413,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1992,2,Bourbon,Arthur L. Clack,,181,page image read; district total row / overview then tie exactly (OCR text had no value)
1994,1,Marion,Pat Roberts,,3656,page image read; district total row / overview then tie exactly (OCR text had no value)
1994,2,Anderson,John Carlin,2136,740,page image read; district total row / overview then tie exactly; ocr_value = value the OCR text put in that column (columns can be shifted when a neighbouring value was dropped)
1994,2,Anderson,Sam Brownback,,2136,page image read; district total row / overview then tie exactly (OCR text had no value)
1996,1,Kearny,John Divine,(row missing),238,page image read; district total row then ties exactly (whole county row dropped by OCR)
1996,1,Kearny,Bill Earnest,(row missing),19,page image read; district total row then ties exactly (whole county row dropped by OCR)
1996,1,Kearny,Jerry Moran,(row missing),1179,page image read; district total row then ties exactly (whole county row dropped by OCR)
